M#,Name/Comment,,Constellation,Mag,RA,DEC,,NGC,,,,,,id,catname,RA,DEC,name
1,Crab Nebula,SNR,Taurus,8.4,05h34.5m,+22°01',,1952,22,1,22.02,83.5,83.5,1,"""NGC1952""",83.50,22.02,Crab Nebula
2,,Globular Cluster,Aquarius,6.5,21h33.5m,-00°49',,7089,0,49,0.82,323.25,-36.75,2,"""NGC7089""",-36.75,0.82,
3,,Globular Cluster,Canes Venatici,6.4,13h42.2m,+28°23',,5272,28,23,28.38,205.5,-154.5,3,"""NGC5272""",-154.50,28.38,
4,,Globular Cluster,Scorpius,5.9,16h23.6m,-26°32',,6121,-26,32,-26.53,245.75,-114.25,4,"""NGC6121""",-114.25,-26.53,
5,,Globular Cluster,Serpens,5.8,15h18.6m,+02°05',,5904,2,5,2.08,229.5,-130.5,5,"""NGC5904""",-130.50,2.08,
6,Butterfly Cluster,Open Cluster,Scorpius,4.2,17h40.1m,-32°13',,6405,-32,13,-32.22,265,-95,6,"""NGC6405""",-95.00,-32.22,Butterfly Cluster
7,Ptolemy Cluster,Open Cluster,Scorpius,3.3,17h53.9m,-34°49',,6475,-34,49,-34.82,268.25,-91.75,7,"""NGC6475""",-91.75,-34.82,Ptolemy Cluster
8,Lagoon Nebula,Diffuse Nebula,Sagittarius,5.8,18h03.8m,-24°23',,6523,-24,23,-24.38,270.75,-89.25,8,"""NGC6523""",-89.25,-24.38,Lagoon Nebula
9,,Globular Cluster,Ophiuchus,7.9,17h19.2m,-18°31',,6333,-18,31,-18.52,259.75,-100.25,9,"""NGC6333""",-100.25,-18.52,
10,,Globular Cluster,Ophiuchus,6.6,16h57.1m,-04°06',,6254,-4,6,-4.10,254.25,-105.75,10,"""NGC6254""",-105.75,-4.10,
11,Wild Duck Cluster,Open Cluster,Scutum,5.3,18h51.1m,-06°16',,6705,-6,16,-6.27,282.75,-77.25,11,"""NGC6705""",-77.25,-6.27,Wild Duck Cluster
12,,Globular Cluster,Ophiuchus,6.6,16h47.2m,-01°57',,6218,-1,57,-1.95,251.75,-108.25,12,"""NGC6218""",-108.25,-1.95,
13,Great Globular,Globular Cluster,Hercules,5.3,16h41.7m,+36°28',,6205,36,28,36.47,250.25,-109.75,13,"""NGC6205""",-109.75,36.47,Great Globular
14,,Globular Cluster,Ophiuchus,7.6,17h37.6m,-03°15',,6402,-3,15,-3.25,264.25,-95.75,14,"""NGC6402""",-95.75,-3.25,
15,,Globular Cluster,Pegasus,6.4,21h30.0m,+12°10',,7078,12,10,12.17,322.5,-37.5,15,"""NGC7078""",-37.50,12.17,
16,Eagle Nebula,Diffuse Nebula+Open Cluster,Serpens,6.0,18h18.8m,-13°47',,6611,-13,47,-13.78,274.5,-85.5,16,"""NGC6611""",-85.50,-13.78,Eagle Nebula
17,Omega Nebula,Diffuse Nebula,Sagittarius,7.0,18h20.8m,-16°11',,6618,-16,11,-16.18,275,-85,17,"""NGC6618""",-85.00,-16.18,Omega Nebula
18,,Open Cluster,Sagittarius,6.9,18h19.9m,-17°08',,6613,-17,8,-17.13,274.75,-85.25,18,"""NGC6613""",-85.25,-17.13,
19,,Globular Cluster,Ophiuchus,7.2,17h02.6m,-26°16',,6273,-26,16,-26.27,255.5,-104.5,19,"""NGC6273""",-104.50,-26.27,
20,Trifid Nebula,E/RN,Sagittarius,8.5,18h02.6m,-23°02',,6514,-23,2,-23.03,270.5,-89.5,20,"""NGC6514""",-89.50,-23.03,Trifid Nebula
21,,Open Cluster,Sagittarius,5.9,18h04.6m,-22°30',,6531,-22,30,-22.50,271,-89,21,"""NGC6531""",-89.00,-22.50,
22,Sagittarius Cluster,Globular Cluster,Sagittarius,5.1,18h36.4m,-23°54',,6656,-23,54,-23.90,279,-81,22,"""NGC6656""",-81.00,-23.90,Sagittarius Cluster
23,,Open Cluster,Sagittarius,5.5,17h56.8m,-19°01',,6494,-19,1,-19.02,269,-91,23,"""NGC6494""",-91.00,-19.02,
24,Sagittarius Star cloud,,Sagittarius,4.5,18h16.9m,+18°29',,IC4715,18,29,18.48,274,-86,24,"""IC4715""",-86.00,18.48,Sagittarius Star cloud
25,,Open Cluster,Sagittarius,4.6,18h31.6m,-19°15',,IC4725,-19,15,-19.25,277.75,-82.25,25,"""IC4725""",-82.25,-19.25,
26,,Open Cluster,Scutum,8.0,18h45.2m,-09°24',,6694,-9,24,-9.40,281.25,-78.75,26,"""NGC6694""",-78.75,-9.40,
27,Dumbbell Nebula,Planetary Nebula,Vulpecula,8.1,19h59.6m,+22°43',,6853,22,43,22.72,299.75,-60.25,27,"""NGC6853""",-60.25,22.72,Dumbbell Nebula
28,,Globular Cluster,Sagittarius,6.9,18h24.5m,-24°52',,6626,-24,52,-24.87,276,-84,28,"""NGC6626""",-84.00,-24.87,
29,Cooling Tower,Open Cluster,Cygnus,6.6,20h23.9m,+48°26',,6913,48,26,48.43,305.75,-54.25,29,"""NGC6913""",-54.25,48.43,Cooling Tower
30,,Globular Cluster,Capricornus,7.5,21h40.4m,-23°11',,7099,-23,11,-23.18,325,-35,30,"""NGC7099""",-35.00,-23.18,
31,Andromeda Galaxy,Spiral Galaxy,Andromeda,3.4,00h42.7m,+41°16',,224,41,16,41.27,10.5,10.5,31,"""NGC224""",10.50,41.27,Andromeda Galaxy
32,,Elliptical Galaxy,Andromeda,8.2,00h42.7m,+40°52',,221,40,52,40.87,10.5,10.5,32,"""NGC221""",10.50,40.87,
33,Triangulum Galaxy,Spiral Galaxy,Triangulum,5.7,01h33.9m,+30°39',,598,30,39,30.65,23.25,23.25,33,"""NGC598""",23.25,30.65,Triangulum Galaxy
34,,Open Cluster,Perseus,5.2,02h42.0m,+42°47',,1039,42,47,42.78,40.5,40.5,34,"""NGC1039""",40.50,42.78,
35,,Open Cluster,Gemini,5.1,06h08.9m,+24°20',,2168,24,20,24.33,92,92,35,"""NGC2168""",92.00,24.33,
36,,Open Cluster,Auriga,6.0,05h36.1m,+34°08',,1960,34,8,34.13,84,84,36,"""NGC1960""",84.00,34.13,
37,,Open Cluster,Auriga,5.6,05h52.4m,+32°33',,2099,32,33,32.55,88,88,37,"""NGC2099""",88.00,32.55,
38,,Open Cluster,Auriga,6.4,05h28.7m,+35°50',,1912,35,50,35.83,82,82,38,"""NGC1912""",82.00,35.83,
39,,Open Cluster,Cygnus,4.6,21h32.2m,+48°26',,7092,48,26,48.43,323,-37,39,"""NGC7092""",-37.00,48.43,
40,Winnecke 4,DS,Ursa Major,8.0,12h22.4m,+58°05',,,58,5,58.08,185.5,-174.5,40,"""""",-174.50,58.08,Winnecke 4
41,,Open Cluster,Canis Major,4.5,06h47.0m,-20°01',,2287,-20,1,-20.02,101.75,101.75,41,"""NGC2287""",101.75,-20.02,
42,Orion Nebula,Diffuse Nebula,Orion,4.0,05h35.4m,-05°27',,1976,-5,27,-5.45,83.75,83.75,42,"""NGC1976""",83.75,-5.45,Orion Nebula
43,De Mairan's Neb,Diffuse Nebula,Orion,6.8,05h35.6m,-05°16',,1982,-5,16,-5.27,83.75,83.75,43,"""NGC1982""",83.75,-5.27,De Mairan's Neb
